COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	08:01:00	obs966002	S56988137	Traveling	P22	80	3.219		9	1	G4214587
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-23	07:55:00	obs966002	S56988145	Traveling	P22	222	4.828		9	1	G4214590
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	08:01:00	obs203281	S56678885	Traveling	P22	80	3.219		9	1	G4214587
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	08:01:00	obs199620	S56678884	Traveling	P22	80	3.219		9	1	G4214587
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	06:10:00	obs966002	S56988142	Stationary	P21	100			9	1	G4214589
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-22	14:13:00	obs199620	S56613169	Traveling	P22	173	4.828		9	1	G4208825
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-22	14:13:00	obs18347	S77811133	Traveling	P22	173	4.828		9	1	G4208825
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	06:10:00	obs18347	S77811130	Stationary	P21	100			9	1	G4214589
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-23	07:55:00	obs18347	S77811129	Traveling	P22	222	4.828		9	1	G4214590
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	08:01:00	obs18347	S77811131	Traveling	P22	80	3.219		9	1	G4214587
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-22	14:13:00	obs203281	S56613170	Traveling	P22	173	4.828		9	1	G4208825
CN	CN-33		L9320833	P	30.1468050	120.0751100	2019-05-22	17:00:00	obs958418	S56618266	Traveling	P22	30	0.402		1	1	
CN	CN-13		L9325023	P	39.1974002	118.8662778	2019-05-12	16:20:00	obs847110	S56643233	Traveling	P22	130	3.000		6	1	
CN	CN-61		L9325034	H	34.0536605	108.3297111	2019-05-23	10:37:00	obs150192	S56643224	Traveling	P22	120	2.000		1	1	
CN	CN-11		L9325073	P	40.1348564	116.2934689	2019-05-23	05:20:00	obs1155095	S56643346	Traveling	P22	270	3.219		4	1	
CN	CN-35		L9325074	P	25.3002490	116.8752540	2019-05-23	13:00:00	obs758601	S56643352	Traveling	P22	60	2.000		1	1	
CN	CN-51		L9325148	P	33.2535740	103.7633270	2019-05-23	14:35:00	obs358384	S56643687	Traveling	P22	133	4.828		2	1	G4285161
CN	CN-51		L9325148	P	33.2535740	103.7633270	2019-05-23	14:35:00	obs357540	S57406650	Traveling	P22	133	4.828		2	1	G4285161
CN	CN-35		L9325212	P	25.3109110	119.6935320	2019-05-23	17:40:00	obs968502	S56643947	Stationary	P21	1			1	1	
CN	CN-61		L9328845	P	34.1608870	108.4740490	2019-05-24	05:50:00	obs150192	S56664802	Traveling	P22	56	0.750		1	1	
CN	CN-61		L9329920	P	34.1638340	108.4746270	2019-05-24	09:01:00	obs150192	S56671019	Traveling	P22	79	3.191		1	1	
CN	CN-51		L9330238	P	33.3156570	103.2161260	2019-05-24	11:15:00	obs357540	S57406655	Stationary	P21	15			2	1	G4285165
CN	CN-51		L9330238	P	33.3156570	103.2161260	2019-05-24	11:15:00	obs358384	S56672625	Stationary	P21	15			2	1	G4285165
CN	CN-35		L9330352	P	25.9760000	119.6185000	2019-05-01	11:00:00	obs767243	S56673408	Stationary	P21	60			2	1	G4214019
CN	CN-35		L9330352	P	25.9760000	119.6185000	2019-05-01	16:30:00	obs767243	S56673416	Stationary	P21	60			2	1	G4214020
CN	CN-35		L9330352	P	25.9760000	119.6185000	2019-05-01	16:30:00	obs450541	S56673336	Stationary	P21	60			2	1	G4214020
CN	CN-35		L9330352	P	25.9760000	119.6185000	2019-05-01	11:00:00	obs450541	S56673309	Stationary	P21	60			2	1	G4214019
CN	CN-35		L9330416	P	26.0178000	119.6482000	2019-05-02	06:03:00	obs450541	S56673759	Traveling	P22	28	1.000		9	1	G4216319
CN	CN-35		L9330416	P	26.0178000	119.6482000	2019-05-02	06:03:00	obs767243	S56700066	Traveling	P22	28	1.000		9	1	G4216319
CN	CN-51		L9330971	P	31.0406450	103.1897233	2019-05-24	19:55:00	obs865924	S56676660	Traveling	P22	120	1.609		6	1	
CN	CN-51		L9331003	P	30.7530167	103.9244083	2019-05-24	13:05:00	obs865924	S56676789	Stationary	P21	60			1	1	
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-26	15:07:00	obs966002	S56988149	Traveling	P22	44	0.805		9	1	G4221018
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-26	15:07:00	obs203281	S56748274	Traveling	P22	44	0.805		9	1	G4221018
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-26	15:07:00	obs199620	S56748273	Traveling	P22	44	0.805		9	1	G4221018
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-24	15:35:00	obs966002	S57069202	Traveling	P22	120	3.500		9	1	
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-24	15:44:00	obs199620	S56678852	Traveling	P22	120	4.828		9	1	G4214586
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-24	15:44:00	obs203281	S56678853	Traveling	P22	120	4.828		9	1	G4214586
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-26	15:07:00	obs18347	S77811127	Traveling	P22	44	0.805		9	1	G4221018
CN	CN-51		L9331336	P	29.8669350	102.3145370	2019-05-24	15:44:00	obs18347	S77811132	Traveling	P22	120	4.828		9	1	G4214586
CN	CN-11		L9335115	P	39.9603540	115.4290680	2019-05-29	04:30:00	obs973508	S56857379	Traveling	P22	240	4.000		3	1	
CN	CN-11		L9335115	P	39.9603540	115.4290680	2019-05-31	09:00:00	obs973508	S56922560	Traveling	P22	180	3.000		1	1	
CN	CN-11		L9335115	P	39.9603540	115.4290680	2019-05-25	09:20:00	obs973508	S56704814	Traveling	P22	120	4.000		5	1	
CN	CN-11		L9335115	P	39.9603540	115.4290680	2019-05-25	05:00:00	obs973508	S56697758	Traveling	P22	150	2.000		10	1	
CN	CN-65		L9335538	P	45.5231650	85.3656350	2019-05-24	10:23:00	obs1295292	S56674842	Stationary	P21	100			1	1	
CN	CN-65		L9335596	P	45.4520050	85.2593700	2019-05-24	15:52:00	obs1295292	S56700305	Stationary	P21	100			3	1	
CN	CN-35		L9335974	P	26.9343000	117.2181000	2019-05-03	17:30:00	obs450541	S56702925	Traveling	P22	13	0.200		2	1	G4216886
CN	CN-35		L9335974	P	26.9343000	117.2181000	2019-05-03	17:30:00	obs767243	S56705443	Traveling	P22	13	0.200		2	1	G4216886
CN	CN-31		L9336500	P	31.2607790	121.4167320	2019-05-25	14:19:00	obs642354	S56705725	Traveling	P22	3	0.728		1	1	
CN	CN-51		L9336856	P	34.0323190	102.4782590	2019-05-25	16:50:00	obs358384	S56707392	Traveling	P22	100	3.219		1	1	
CN	CN-51		L9336859	P	34.0227620	102.4979970	2019-05-25	16:35:00	obs358384	S56707403	Stationary	P21	6			1	1	
CN	CN-51		L9336865	P	33.9909220	102.5420040	2019-05-25	15:45:00	obs358384	S56707430	Traveling	P22	40	1.609		1	1	
CN	CN-52		L9338146	P	26.2909690	106.4760090	2019-05-11	14:38:00	obs682906	S56713470	Traveling	P22	150	2.000		2	1	
CN	CN-52		L9339352	P	26.6414269	106.6335646	2019-05-24	17:00:00	obs950043	S56719389	Traveling	P22	150	4.000		2	1	
CN	CN-36		L9344090	P	28.7829719	117.9981766	2019-05-06	14:25:00	obs450541	S56743704	Stationary	P21	5			9	1	G4220616
CN	CN-36		L9344090	P	28.7829719	117.9981766	2019-05-06	14:25:00	obs767243	S56743794	Stationary	P21	5			9	1	G4220616
CN	CN-65		L9344345	P	45.5201410	84.9388790	2019-05-26	14:08:00	obs1295292	S56744764	Stationary	P21	60			1	1	
CN	CN-32		L9345035	P	31.6103710	120.7364830	2019-05-26	15:00:00	obs186678	S56748286	Traveling	P22	120	3.000		1	1	
CN	CN-36		L9350869	P	29.3838000	118.0008000	2019-05-07	14:18:00	obs767243	S56780971	Traveling	P22	80	0.800		9	1	G4224176
CN	CN-36		L9350869	P	29.3838000	118.0008000	2019-05-07	14:18:00	obs450541	S56779747	Traveling	P22	80	0.800		9	1	G4224176
CN	CN-31		L9351093	P	31.2935840	121.5270440	2019-05-27	08:47:00	obs1137471	S56781266	Traveling	P22	55	1.500		1	1	
CN	CN-36		L9351101	P	29.3847000	117.9883000	2019-05-07	15:41:00	obs767243	S56780993	Stationary	P21	5			9	1	G4224182
CN	CN-36		L9351101	P	29.3847000	117.9883000	2019-05-07	15:41:00	obs450541	S56779901	Stationary	P21	5			9	1	G4224182
CN	CN-51		L9351353	P	29.9504000	103.0015000	2019-05-09	12:10:00	obs450541	S56781340	Traveling	P22	30	0.600		9	1	G4224812
CN	CN-51		L9351353	P	29.9504000	103.0015000	2019-05-09	13:34:00	obs450541	S56781465	Traveling	P22	76	1.000		9	1	G4224813
CN	CN-51		L9351353	P	29.9504000	103.0015000	2019-05-09	12:10:00	obs767243	S56785187	Traveling	P22	30	0.600		9	1	G4224812
CN	CN-51		L9351353	P	29.9504000	103.0015000	2019-05-09	13:34:00	obs767243	S56785192	Traveling	P22	76	1.000		9	1	G4224813
CN	CN-51		L9351401	P	30.0399000	102.4436000	2019-05-09	17:05:00	obs450541	S56781580	Traveling	P22	40	0.200		9	1	G4224816
CN	CN-51		L9351401	P	30.0399000	102.4436000	2019-05-09	17:05:00	obs767243	S56785200	Traveling	P22	40	0.200		9	1	G4224816
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-12	06:12:00	obs767243	S56824290	Traveling	P22	70	1.000		9	1	G4228917
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-12	06:12:00	obs450541	S56815845	Traveling	P22	70	1.000		9	1	G4228917
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-11	06:17:00	obs450541	S56814680	Traveling	P22	73	1.000		9	1	G4227800
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-11	07:30:00	obs450541	S56814765	Stationary	P21	48			9	1	G4227801
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-11	06:17:00	obs767243	S56815043	Traveling	P22	73	1.000		9	1	G4227800
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-10	07:20:00	obs767243	S56785212	Stationary	P21	30			4	1	G4224819
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-10	06:30:00	obs767243	S56785208	Traveling	P22	49	0.800		9	1	G4224818
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-10	07:20:00	obs450541	S56784392	Stationary	P21	30			4	1	G4224819
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-10	06:30:00	obs450541	S56784373	Traveling	P22	49	0.800		9	1	G4224818
CN	CN-51		L9351876	H	30.1670000	102.4490000	2019-05-11	07:30:00	obs767243	S56815053	Stationary	P21	48			9	1	G4227801
CN	CN-51		L9352253	P	33.4685860	102.6546430	2019-05-27	06:30:00	obs358384	S56785880	Traveling	P22	90	2.414		1	1	
CN	CN-51		L9352256	P	33.0475550	102.6084300	2019-05-27	09:45:00	obs358384	S56785891	Stationary	P21	20			1	1	
CN	CN-12		L9352408	P	39.0873528	117.1846604	2019-05-15	06:15:00	obs747797	S56786733	Traveling	P22	75	0.500		1	1	
CN	CN-12		L9352408	P	39.0873528	117.1846604	2019-05-17	07:00:00	obs747797	S56786849	Traveling	P22	60	0.500		1	1	
CN	CN-31		L9357167	P	31.1869740	121.3715760	2019-05-28	06:05:00	obs642354	S56810902	Stationary	P21	3			1	1	
CN	CN-65		L9358280	P	43.5138484	87.1773403	2019-05-19	13:00:00	obs1003116	S56814470	Traveling	P22	210	3.000		16	1	
CN	CN-31		L9358651	P	31.5204880	121.9120040	2019-05-28	08:00:00	obs642354	S56816098	Stationary	P21	3			1	1	
CN	CN-51		L9358690	P	29.9387000	102.3876000	2019-05-12	12:36:00	obs450541	S56816467	Traveling	P22	29	0.800		9	1	G4228924
CN	CN-51		L9358690	P	29.9387000	102.3876000	2019-05-12	12:36:00	obs767243	S56824315	Traveling	P22	29	0.800		9	1	G4228924
CN	CN-11		L9359242	P	40.1368290	116.2979990	2019-05-28	06:40:00	obs1216086	S56819924	Traveling	P22	182	3.765		5	1	
CN	CN-51		L9360269	P	31.1316400	102.4384010	2019-05-28	13:15:00	obs358384	S56825506	Stationary	P21	70			1	1	
CN	CN-14		L9360809	P	37.1467547	112.1254727	2019-05-28	19:37:00	obs1162333	S56830630	Traveling	P22	12	4.651		1	1	
CN	CN-32		L9361136	P	31.6496720	120.7359120	2019-05-31	07:14:00	obs186678	S56922980	Traveling	P22	300	5.000		1	1	
CN	CN-41		L9365769	P	31.9664450	114.3082130	2019-05-29	11:02:00	obs544043	S56857603	Traveling	P22	10	0.644		1	1	
CN	CN-62		L9366019	H	34.9382866	102.8976269	2019-05-29	12:26:00	obs685978	S56858849	Traveling	P22	174	3.870		1	1	
